,clean_por_que_pelota_que_canta,clean_explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,clean_que_otra_cosa_podria_ser_una_pelota_de_pelos,clean_explica_tu_respuesta_en_la_frase_pelota_de_plata,clean_c1t,clean_c2t,clean_c3t,clean_c4t,clean_c5t,clean_c6t,clean_que_significa_1,clean_por_que_crees_que_si_o_no_es_posible_1,clean_que_significa_2,clean_por_que_crees_que_si_o_que_no_es_posible_2,clean_que_significa_3,clean_por_que_crees_que_si_o_que_no_es_posible_3,clean_que_significa_4,clean_por_que_crees_que_si_o_que_no_es_posible_4,clean_que_significa_5,clean_por_que_crees_que_si_o_que_no_es_posible_5,clean_que_significa_6,clean_por_que_crees_que_si_o_que_no_es_posible_6,clean_que_significa_7,clean_por_que_crees_que_si_o_que_no_es_posible_7,clean_que_significa_8,clean_por_que_crees_que_si_o_que_no_es_posible_8,clean_que_significa_9,clean_por_que_crees_que_si_o_que_no_es_posible_9
364,no porque no se le entiende a la frase pelota,mi hermano grita mucho o simplemente llora mucho,un perro o la barba de mi papa,0,lacio resistente y lindo de muchos colores como el negro café y como amarillo,fuertes y un poco grandes,dulce cariñosa insoportable y un poco gritona,es como la felicidad,salio el día y la noche se oculto,que con el paso del tiempo vendrán los días mejores,que las estrellas son brillantes como un cristal,las estrellas igual brilla como un cristal,que hay vestidos de tela,que ha vestidos de tela y de diferentes colores,nada,no existen zapatos de miel tal vez si pero en color,que puedes hacerlas,si porque hay muchas esculturas con piedra,nada,el alma no es de hierro,que la banqueta te protege,las banquetas te protegen de accidentes,nada,las sillas no llegan están,los atletas hacen mucho ejercicio,si porque hacen mucho ejercicio entre esos hay el correr,que hay mucho tiempo,que hay mucho tiempo para hacer muchas cosas
365,no porque es obvio que ninguna pelota canta,que su hermano esta gordito y grita mucho,un animal grande redondo pelos,pelota de color plata,es,son blancos y duros,es alta bonita etc,encantadora sonrisa bonita,fui al cine a ver una película y comí pizza en mi casa,que algo te sale mal y una persona te dice eso,estrellas de como de vidrio,porque no es posible porque se romperían fácilmente el cristal,que hay vestidos solamente de tela,que si se puede porque hay personas que si los hacen de tela,por serian imposibles de hacerlos,porque serian pegajosos los zapatos de miel,hacer una figura con piedra,si es posible por que mucha gente ha logrado hacerla,que no tienen alma,bueno que su alma esta dura,0,no le entendí a la frase,que ya llego,ya llego una silla y si es posible,0,no se que son atletas,que hay tiempo,que hay tiempo para todo
366,no porque las pelotas no cantan,al decir pelota puede que sea que brinca mucho y grita,0,0,cabello enredado y grueso,dientes muy limpios,es muy buena,es una sonrisa bonita,la noche ya paso,que el tiempo mejorara los momentos,0,0,es ropa hecha con tela,si es posible porque prácticamente la ropa esta hecha con tela,calzado hecho de un alimento,no es posible porque se derretiría con el sol y no se podría hacer la figura de zapato,es un objeto o un personaje hecho de piedra,si es posible por que las esculturas están hechas de piedra,alma de un material fuerte,no es posible porque no pueden meter un material a tu alma,banqueta que calienta,no es posible porque las banquetas están hechas de cemento y el cemento es frio,0,0,que una persona corre,si es posible porque los atletas prácticamente eso hacen corren,el tiempo alcanza para hacer algo,si es posible si lo haces con tiempo
367,si porque cada vez que rebota su mama quiere cantar,porque no le gusta que rebote la pelota,es una almohada,como si fuera algo que tu quisieras o una pelota pintada de plata,son blancas y creo que esponjosas,que esta suave,que cuando alguien esta enojado con alguien,son que volteas los ojos para un lado y para el otro,ocurre que es el ano que mas disfrutan,que tenemos que estar listos y que nos gusta,que son demasiado fuertes,porque no es posible si son muy fuertes,cuando dobla el papel,porque lo hemos hecho,porque seria muy difícil,porque no se podrían hacer los números y el remarco si,cuando pones a calentarlo en fuego,porque mi tío le pone al carbón a la comida cuando hace elotes,no quieres hacer nada,porque yo de repente lo hago,una calceta que no esta cómoda,porque no va a estar cómoda,a hacernos llorar,porque nosotros usamos el comercio,porque no tienen practica,no las entrenan o no se,que cuando se hace de noche,si no como nos dormimos
368,no porque las pelotas no cantan,que su hermano grita mucho,algo peludo porque tiene mucho pelo,algo que sea muy brillante,blancas como la leche,suave como la seda,fuerte ardiente,fuertes amargos,que no esta siempre,que es temporada navideña,las piernas son fuertes,porque pueden ser muy fuertes,sobre hecho de papel,se utilizan en las cartas,0,no existen,el carbón esta caliente,el carbón se calienta con el fuego,que son fuertes,son una mirada fuerte,0,calceta gris,que hay cebollas,puedes tener una cebolla,son aves,porque tienen alas,cambia,puede ser noche y día
369,no porque mi mama puede cantar pero no todo el tiempo,que llora de todo porque es muy pequeño,árbol porque tiene muchas hojas y es redondo,no existe pero si es poema tendrás que apropiarte del tema la luna es redonda y color entre blanco y plata bajo,no existe pero como las nubes son blancas entonces es una forma de decir,no existe pero es una forma de decir bonita suave etc,no existe pero es una forma de decir enojada con los ojos,no existe pero es una forma de decir ojos feos,si puede ser porque no nada mas se mantiene en una estación,si se puede es cuando festejas una costumbre es decir que es hoy o mañana,acero convertido en piernas,no porque es una frase sustentando la palabra de fuerte,sobre el papel puede haber un objeto,si porque es una palabra real que puedes usar para dar origen a un objeto,no lo había escuchado,no no lo había escuchado,es cuando el carbón esta caliente o a temperatura alta,si porque ardiente se refiere a caliente es una forma de decirlo,darle un significado de ojos feos,no porque es una frase como sustentar el significado de ojos feos,no existen es algo inexistente,no porque no existe pero se refiere a calceta limpia bonita,no existe una cebolla que llegue,no porque las cebollas no tienen pies,si existen,es un animal de la naturaleza que vuela en el cielo,si es una forma de decir,es una forma de decir que ya no esta el sol se va y llega la luna y ahora es noche
370,no porque esta en sentido figurado,mi hermanito grita mucho,mi perro esta lleno de pelos,las nubes de la tierra se parecen a una pelota de plata,blancas,suave,enojada,tristes,se aproxima,estamos en la época navideña,piernas fuertes,no es posible porque no es real,sobre hecho de papel,si existen los sobres fabricados de papel,calendario hecho de zacate,no porque estaría muy frágil,carbón caliente,si porque el carbón se calienta y arde,mirada agria,no es posible tener mirada amarga,calceta hecha de plata,no es posible fabricar una calceta de plata,la cebolla llego al mercado,si es posible que llegue al mercado,las gaviotas vuelan,si es posible que las gaviotas vuelen,ya es de noche,si es posible que llegue la noche
371,si porque su mama canta mucho y la describió como una pelota,porque regañan mucho los hermanos,perro porque esta lleno de pelos,las espadas porque son de plata,blancas,suave y sensible cuando se corta,es clara,circulares,todo el mundo se divierte,que llego la fecha de navidad,piernas que levantan cosas pesadas,porque hay personas que pueden levantar mucho peso con sus piernas,sobres de papel,porque la gente la usa para meter cartas,calendario azteca,porque existe el calendario azteca,carbón que se quema,porque solo le ponemos flama y se enciende,ojos no agradables,porque los ojos tal vez vean algo que no les agrade,calceta sucia,porque no existen las calcetas de plata,una cebolla recién comprada,porque la compraron recién,que las gaviotas tienen plumas,porque vuelan por sus plumas,la noche viene,porque la noche cae después del día
372,no porque es una pelota cualquiera,su hermano grita mucho,tu cabeza,la luna es una pelota de plata,son de color blanco,es muy suave de cualquier color,es una mirada de enojo,los ojos amargos son llorosos,salimos de vacaciones,que llega santa,piernas resistibles a todo,porque eso pasaría si fuera un súper héroe,es una hoja,si porque puedes recibir una carta,es un calendario,si porque lo puedes comprar,es negro sirve para calentar,si porque lo puedes comprar para calentar comida,tus ojos,si porque puedes llorar,una calceta de plata,no porque no existen,si la cebolla llega,si porque la cebolla es un vegetal,si vuelan,si porque tienen alas,si la noche llega,si la una sale igual que las estrellas
373,no porque no todo es una pelota,mi hermano grita mucho,perro porque se hacen bola y tienen pelo,que la luna se ve de plata porque es gris,blancas no esta cómodas,color blanca suave y blanda,sensible y buena,bonitos y oscuros,que hace calor,que ya es navidad,que no puedes tener piernas de acero,no es posible porque no podrías caminar porque el acero es pesado,que es un papel transformado en sobre,es posible porque lo vas transformado,que solo puede ser de madera o papel,no es posible porque el zacate no duraría tanto y se rompería,porque el carbón se calienta para la parrilla,si es posible porque el carbón es una piedra que se puede calentar,que los ojos no se pueden comer,no es posible porque los ojos se ven no se comen,que la calceta es de tela,no es posible porque la calceta se cose,que la cebolla no camina,no es posible porque la cebolla se compra no llega caminando,que las gaviotas tienen alas,las gaviotas tienen alas,que el sol se esconde y llega la noche,si es posible porque cuando esta oscuro la noche llega
374,no porque no tiene sentido alguno,es porque siempre grita,gatos tienen mucho pelo,porque la mente vale mucho,blancas,suave,muy hermosa,de colores,viene,que ya viene navidad,piernas fuertes,porque no existe nadie con piernas así,un sobre hecho de papel,porque yo hice uno,un calendario hecho con zacate,porque no se puede,carbón ardiendo,porque con eso calientan el fogón,ojos fuertes,no hay ojos amargos,calceta hecha con plata,no hay calcetas de plata,temporada de cebolla,la cebolla no camina,que las gaviotas pueden volar,que vuelan por sus brazos,que la luna ya llego,cuando el día se va la noche llega
375,si porque una mama puede cantar con una pelota,que su hermano grita mucho,el gato porque a los gatos les gustan las bolas de estambre,el una persona puede ser el,blancas con formas parecen almohadas,es suave y sedosa,una mirada que no te la quitan de encima o ardiente,ojos muy extraños,las vacaciones se acercan,la navidad ya va a llegar,un material hecho por acero,porque una persona no puede tener piernas de acero,un papel del baño,un sobre puede ser de hojas pero de papel no,un zacate convertido en calendario,tal vez puede ser que un zacate sea convertido en calendario,es el carbón prendido,es un material hecho que se puede encender,algo amargo,porque unos ojos no pueden ser amargos,un trabajo hecho de plata,una calceta no puede ser hecha de plata,una cebolla caminando,no es posible que una cebolla venga caminando,un pájaro volando,que las gaviotas si pueden volar,que ya va a anochecer,que la noche llegara pronto en unas horas
376,no porque las pelotas no tienen boca,mi hermano grita mucho,perro porque esta muy peludo,la luna porque es redonda y muy hermosa,las nubes son blancas y grandes,la piel es suave y muy blanda,la mirada es aquella que fijas a un objeto o persona,los ojos son un sentido de la vista son blancos con pupilas,en el verano hay vacaciones en las escuelas y en los días esta muy asoleado,cuando es noviembre y ya esta cerca el mes de navidad,que una persona no tiene piernas de carne y hueso,porque hay personas con discapacidades y no tienen piernas y usan de acero,una pieza de papel,si es posible porque son muy fácil de conseguir,conjunto de papeles onde están los meses del ano,si es posible porque es para saber el mes ano y día en el que estamos,mineral en forma de piedra,si es posible porque el carbón lo usamos en la cocina y puede calentarse mucho,que alguien te ve con una mirada furiosa,es posible porque hay veces que alguien se enoja y te ve así,porque cuando hacen la calceta usan hilo de plata,porque cuando hacen la calceta usan hilo de plata,que compran cebolla y llega,si porque cuando compran cebolla la cebolla llega,que los pájaros vuelan,si porque todos los pájaros vuelan,porque cuando son las 800 la noche llega,cuando se hace la tarde sigue la noche
377,si porque tu mama canta bonito,que grita mucho,los gatos,que es muy duro,son blancas y esponjosas,es como cuero,es como mirar las cosas y las personas,viscosos y llenos de agua,cuando es vacaciones o cuando hace calor,decir cosas divertidas o hermosas,tener las piernas bien duras,porque puedes hacer mucho ejercicio,hacer una carta,por que,esta hecho de pasto,porque se te deshace pronto y no existe,carbón caliente,por que,que te duela mucho el ojo,porque con la cebolla cunado la partes lloras,que sean de hierro,porque no existen,que te traigan la cebolla,porque te la transportan en camiones,que están volando,porque les permite viajar o migrar,que esta oscuro,porque el mundo da vueltas
378,si porque es una persona  que canta,su hermano es griton,los pelos que se caen forman pelota de pelos porque a las mujeres se nos cae el pelo,el hierro es como la plata,blandas y blancas,seca o nutrida y única,intimidante o tierna,con los que ves,llegan las vacaciones,que las vacaciones llegaron los regalos y noche buena,que las piernas están hechas de acero,porque los robots son de acero,es una hoja que doblas y queda un sobre,porque mucha gente lo utiliza,es como un calendario artesano,porque algunas personas indígenas viven de eso,un carbón que esta encendido,porque el carbón lo usan para calentar y se queda ardiente,una mirada de enojo,porque la gente se enoja,unos calcetines plateados,porque casi todos los calcetines son plateados,cuando traen la cebolla de la frutería,porque con eso hacen de comer,las gaviotas vuelan cuando cazan,porque para comer,cuando las horas pasan,porque las personas tienen que descansar
379,no porque las pelotas no hablan,que su hermanito tiene guardado muchos gritos,mi mama porque tiene mucho pelo,la pelota de plata es muy especial,del color de la leche,sedosa y suave igual que la seda,ardiente,amargos,que el verano se esta acercando,que llega la navidad,que las piernas son de acero,porque algunas personas tienen prótesis,que el sobre esta hecho de papel,hay sobres de carta hechos de papel,que el calendario es de zacate,porque no hay calendarios de zacate,que el carbón esta muy caliente,el carbón cuando esta encendido y lo tocas te puedes quemar,0,no porque es metáfora,que la calceta es de plata,no existe,la cebolla llega,la cebolla no puede llegar sola,que vuelan los pájaros,todos los pájaros vuelan,siempre llega la noche,cuando se acaba el día llega la noche
380,no porque las pelotas no cantan,mi hermano grita mucho,perro porque tiene mucho pelo,mi amiga porque vale mucho,de espuma,suave y dura en otras partes pegada a nuestro cuerpo,fija,redondos y brillantes,son vacaciones,que hoy o próximamente es navidad,que los pies son muy duros,puede ser que si,envoltura delgada,claro que si,calendario duro,yo creo que no,fuego,si cuando prenden lumbre,ojos duros,obviamente que no,algo valioso,si,algo duro viene,no,ave libre,si,oscuridad,si
381,no porque su mama es un ser vivo y no un material,que su hermano grita mucho,gatos porque hay gatos que parecen una bola de pelos,puede ser que la pelota sea de ese color o que sea eso metafóricamente,son una especie de gas que se propaga en el cielo,hay muchos tipos de pieles específicamente,es uno de los factores del sentido de la vista,son una parte esencial de nuestro cuerpo,las hojas salen,que ha llegado una época del ano,que es un pie metálico,porque hay personas que no tienen pies o si que les ponen uno de,que hay un objeto sobre la hoja de papel,porque hay objetos que el papel puede aguantar,que es un calendario de piel,pues porque lo pueden hacer de zacate,que esta caliente el carbón,porque lo puedes quemar,0,0,puede ser una calceta de color plata,porque puede ser su color,no puede,no porque no tiene piernas,porque es normal,porque es normal para ellas,es como si se hiciera de noche,si porque oscurece
382,no porque las pelotas no cantan,que su hermano es griton,un perro un peluche un gato etc,que es un color resaltante y muy bonito,blancas y grandes y yo pienso que blandas,es muy suave y limpia,es linda pero a la vez atraída en alguien o algo,lindos y bonitos pero también lloran,es una época que hace calor y se caen las hojas,que llego una época que compartes con toda toda tu familia,que están doradas,no creo que sea posible porque no hay piernas de acero,que es donde mandas una carta,porque los sobres si se hacen de papel,que es un calendario diferente,porque no se podría hacer,porque el carbón con fuego es ardiente,porque si pones carbón con fuego suelta llamas,que están llorosos,porque si pueden estar amargos,que son algo fino,porque no existe ni un par,que llega de un lugar,porque no puede caminar,que las aves vuelan,porque las gaviotas si vuelan,que llego la noche,porque si llega la noche
383,no porque las pelotas no cantan,que mi hermano es muy escandaloso,una rebelión de cabello,significa que es muy bueno para hacer algo,son blancas y grandes,la piel es muy suave,la mirada es hermosa,los ojos son de odio,el verano viene y se va,la navidad llego y podemos festejar,piernas muy fuertes,porque es imposible tener piernas de acero pero si piernas fuertes,por encima de un papel,porque es imposible pasar sobre el papel,que es de zacate,porque como van a hacer un calendario de zacate,carbón caliente,porque el carbón necesita fuego para prender y calentarse,hermosos,porque no hay ojos amargos,calceta de la buena suerte,porque seria muy difícil hacer una calceta de plata,la cebolla llego al mercado,porque las cebollas no caminan,que las gaviotas son libres,creo que las gaviotas no,ya esta oscureciendo,la noche no camina
384,no porque casi no rima,que su hermano grita mucho,yo digo que puede ser el estambre porque se puede hacer como una pelota,0,suaves bonitas blancas relajantes y cuando la calientas se evapora,suave y bonita,fea enojona feliz triste,bonitos grandes o chiquitos,cambio de clima,que ya podemos hacer fiestas,piernas ardientes,porque no la puedes hacer,que estés arriba del papel,porque si los puedes subir o estar sobre el,que pongan números entre el,porque no puedes escribir en el,que pongas a calentar carbón,porque eso si lo puedes hacer,que tus ojos ardan,porque no pueden hacer eso,que tus calcetas estén de otro color,porque no hay calcetas casi de eso,que ya esta la cebolla,porque ella no llega,no creo que pase eso,porque no pasa eso,que ya se hace oscuro,porque si la noche puede llegar
385,no porque las pelotas ni se mueven ni cantan,que su hermano grita mucho,una cabellera pues porque tiene pelos,pues una moneda es redonda como una pelota y es de plata,son como nubes llenas de leche,suave como la seda,es una mirada fija y enojada,secos y sin ninguna emoción,que ya se acerca la temporada de verano,que ya es época de navidad,que son piernas hechas de acero,porque puede haber prótesis de ese material,que es un sobre hecho de papel,es posible porque ya fue creado,que es un calendario,no porque no creo que exista el zacate,carbón que esta quemándose,si pues es muy común y si existe,son secos,no puede haber ojos amargos,una calceta hecha de plata,puede haber una figura de calcetín hecha de plata,que una cebolla ya llego,una cebolla no llega,unas gaviotas vuelan,las gaviotas si pueden volar,la noche se aproxima,la noche si puede llegar
386,no porque las pelotas no cantan,puedes decir que su hermanito es algo gordito y grita mucho,perro porque puede ser algo gordito y tiene pelo,puede ser una pelota plateada,las nubes son blancas y esponjosas,puede ser suave y lisa,puede ser lisa o algo concisa,son blancos alrededor de la pupila la pupila puede ser de algún color,en el verano hay vacaciones y calor,que la navidad es ese día o esta próximo a ser,que le pudieron haber puesto prótesis,porque le pudieron haber puesto prótesis,un sobre hecho de papel,porque ya existen,un calendario hecho con zacate,porque no se podría confeccionar bien,carbón asándose,porque el carbón se usa para asar,0,porque los ojos no se pueden volver amargos,una calceta hecha de plata,porque seria muy pesada de usar,0,0,que las gaviotas vuelan,porque la gaviota es una ave y vuelan,que ya es de noche,porque se hace de noche
387,no porque las pelotas no cantan,que su hermano a cada rato grita,un animal porque tiene pelos,porque cuando sentimos dolor no lo podemos soportar como el peso de la pelota de plata,son blancos,es delgada suave y radiante,que puede ser de muchas formas,que te esta viendo una persona a que le caes mal,ocurre el crecimiento de las plantas,que inicio el fin de ano y viene otro mas,que una persona tiene una ciatica,porque existen las ciaticas,que adentro puedes enviar cartas,porque si existen,un calendario de estropajo,porque existen,cuando lo calientas como para carne asada,porque existen,ojos tristes,porque no es lógico,un calcetín de platos,no puede existir,que la cebolla viene sola,porque no caminan,si vuelan,es natural que las gaviotas vuelen,si cuando se va el sol,cuando se acaba el día
388,si porque es mama que canta,que grita mucho y llora,mi perro,que tiene mucho amor y cariño,son esponjosas y blancas,es casi blanda,0,ojos irritados o enrojecidos,que hace mucho calor,que ya llego diciembre,piernas que no duelen,0,un sobre para enviar cartas o dinero,si porque puedes mandar cartas,0,0,0,0,0,0,una calceta,si porque dice calceta de plata,la cebolla no hace chillar,si porque cuando la picas te hace llorar,0,0,0,0
389,no porque las pelotas no cantan y la frase esta en sentido figurado,quiere decir que el hermano grita constantemente,un gato porque tiene pelos al igual que el perro,mi frase es la bondad ya que la bondad es tan preciada como la plata,pequeñas hechas de leche para dormir bien,suave y delicada,fuerte y sin pensar,ojos tristes enojados y frustrados,viene para visitar cada ano y luego se va pero volverá,que esta aquí la navidad pero luego se ira,que las piernas son fuertes,es posible si poner a ejercitar tu cuerpo,un objeto sobre papel,porque puedes poner un objeto sobre papel,un horario para el zacate,se puede ya que simplemente hay que poner un horario para el zacate,el carbón que arde en el fuego,es posible si al carbón le prendes fuego,ojos tristes,porque tus ojos son tristes y la frase es una metáfora,calceta resistente,porque una calceta no puede ser de plata,que viene una cebolla,porque las cebollas son inmóviles si no las mueves,que vuela una ave,porque las gaviotas vuelan,que ya llego la noche,porque la noche llega pero se va
390,no porque esta como insultando a las personas,que mi hermano menor grita todo el tiempo,mi cabeza porque tengo mucho pelo,pues la plata es algo valioso,son blancas algodonosas y grandes,delgada y suave,miramos depende de la expresión,grandes redondos de calor,hace frio y cambian las hojas de color,que la festividad de navidad ya llego,que la pierna no se rompe,porque con un accidente u operación te ponen una pierna falsa,una hoja doblada,porque un sobre esta hecho de papel,un calendario de estropajo,no es posible porque no se vería los documentos,un carbón prendido,si porque el carbón sirve para eso,llorando,si porque cuando lloras por tus ojos salen lagrimas,una calceta valiosa,no porque la calceta se hace con hilo,una cebolla andante,no porque las cebollas no caminan,un ave volando,si porque las gaviotas si vuelan,ya es de noche,que la noche llego
391,si porque se escucha bien y aparte si no tuviera sentido no la escucharíamos,que mi hermano grita mucho,mi perrito,es como una amiga que vale oro,como un algodón,suave,atractiva y bonita,bonitos y amargos,que viene el verano y pueden mojarse con agua refrescante,que pueden abrazar a los demás pueden decorar su casa,que tienes piernas fuertes,porque hay algunos que hacen boxeo y con el ejercicio que hacen se les van haciendo piernas duras,que puedes hacer una cartera,porque puedes hacer uno con bolsas de sabritas o de papel,como algo como cuando tu te bañas,porque no creo que exista,que pones a calentar algo,porque mi tía vende pollos y con el carbón y se pone ardiente,cuando estas estresado,porque te arden los ojos o algo así,una calceta que te gusta mucho,no tengo calceta que me gusta,que quiere que chilles,porque no me gusta chillar,porque tienen alas,porque ellas quieren volar por comida,que ya es hora de dormir,porque es para que descanses
392,no porque es una expresión yo creo que quiso decir,que su hermanito es el que grita mas en su casa,el abuelo porque tiene pelo,puede ser una persona que vale mucho,son de leche,es de seda,la mirada es ardiente,son amargos,que esta por empezar,que esta por empezar la navidad,unas piernas que sean fuertes,porque si pueden existir,es un sobre donde puedes meter el papel,porque es imposible hacer uno,puede ser que con este zacate hagan un calendario,no se puede porque no se puede,a algo caliente,si porque si existe,que esta amargos,porque no puede ser amargos porque si no nos dolerían,que es una calceta hecha de plata,porque con la plata no se pueden construir esas cosas,que llega la cebolla,no porque no puede caminar,que vuelan,porque no pueden volar,que es de noche,porque si sucede
393,no porque las pelotas no cantan,que su hermano grita mucho,un perro porque tiene muchos pelos,se refiere a que es valioso,grandes esponjosas y blancas,a veces reseca lisa brillosa y suave,concentrado,grandes chiquitos o medianos,hace calor o frio y te diviertes,que el día de navidad ya es,que tiene piernas fuertes,porque yo digo que si uno se lo propone lo puede lograr,que tiene forma de bolsa de papel,porque casi todas las personas lo utilizan,que es un calendario hecho de zacate,hay algunas regiones en que lo practican,que esta muy caliente,porque por ejemplo haces carne asada y esta muy caliente,ojos con sabor,los ojos no saben a nada,es muy fuerte,no hay ninguna calceta fuerte,que hay una cebolla ,que hay una cebolla en el lugar,que van volando,que los pájaros si pueden volar,que ya es de noche,que ya es hora de la noche
394,no porque las pelotas no cantan esto se significa que esta hablando en sentido figurado,que mi hermano es griton,perro porque es peludo,la luna porque cuando la miras se ve tan brillante y hermosa como la plata,son blancas y esponjosas,la piel es de tipos colores y suave,la mirada puede ser triste feliz enojada manipuladora etc,grandes y las pupilas de color,no hay clases hace mucho calor las plantas crecen y hay vacaciones,que ese día es navidad,que la pierna es dura,por si requieres una operación te pueden poner un palo de acero para soporte del pie,que un sobre se puede fabricar de papel,porque los sobres son de papel,es un calendario hecho de zacate,porque los calendarios son de papel no de zacate,el carbón esta muy caliente,porque el carbón se usa de muchas maneras pero la que mas se usa es para calentar o hacer fuego,los ojos están tristes,porque cuando una persona esta triste se refleja de muchas maneras y una de esas son los ojos,la calceta esta hecha de plata,porque las calcetas son de lana no de plata,que la cebolla llego,porque las cebollas no llegan esta hablando en sentido figurado,las gaviotas están volando o pueden volar,porque las gaviotas son aves y las aves vuelan,ya es de noche,que así se dice cuando ya es de noche
395,no porque las pelotas no cantan son para jugar,porque no para de gritar,perro porque tiene mucho pelo,significa que los anillos son de plata,son blancas y sabrosas,fija y suave,te quema y es cuando alguien esta enojado,0,es una estación en la cual hace mucho calor,que es la temporada en la que estas con la familia,que alguien tiene duras sus piernas,porque es una metáfora,cosas que están arriba del papel,porque en el papel escribes o pones cosas arriba,algo con lo que te raspas,porque no es posible que te puedas cortar,cuando estas calentando carbón,porque cuando esta caliente quema,que alguien tiene sus ojos con limón,porque la gente no aguantaría,porque las calcetas solo son de seda,porque serian mas zapatos,0,0,que las gaviotas mueven sus alas,porque es cierto las gaviotas vuelan,cuando se oculta el sol,porque es cuando el sol se oculta
396,no porque yo digo que no,que grita sin parar con una pelota,gato,0,rasposo,finos y lisos,el hermano es dulce,es azul y brillante,que la noche se quedo atrás,que vendrán bonitas cosas,hermosa como una estrella,estrella brillante como un cristal,precio de vestido,vestido de tela lindo y hermosa,no tiene significado,0,hermosa como una,hermosa y linda como una escultura de piedra,fuerte como hierro,que eres fuerte como alma de hierro,no tengo idea,no se que significa,no tengo idea que signifique,0,corren rápido,corren como los atletas,no se que significa,no tengo ni idea
397,no hay pelotas que puedan cantar aunque cuando rebotan hacen un ruido que parece como si cantaran,que los niños chiquitos hacen mucho berrinche,el perro porque los perros están muy peludos,alguien que es muy valioso para ti,maltratado y feo,blancos y brillosos,agradable y buena,fría y oscura,se olvido,con el paso del tiempo los anos mejoraran,que las estrellas brillan mucho que pueden parecer cristales,si porque las estrellas pueden ser de diferentes cosas según tu imaginación,porque los vestidos pueden ser de piel tela seda etc,todos los vestidos pueden ser de lo que este dentro de la materia,porque no hay zapatos que puedan ser de miel,no porque no pueden haber zapatos de miel,si porque una escultura puede ser de diferentes cosas dependiendo de tu imaginación,si las esculturas todos las pueden hacer pero cada persona es un mundo,que alguien sea muy bueno para guardar algo,porque a un amigo puedes confiarle un secreto si que le diga a alguien,que personas pueden vivir en una banqueta,porque los que no tienen hogar pueden calentarse en una banqueta,no hay ciencia para eso,no puede llegar por si sola,aun un atleta puede seguir luchando,a eso se dedican,que al perezoso tarde o temprano le alcanza la pobreza,muchas personas las alcanza el tiempo
398,no porque las pelotas no cantan,que su hermano es muy griton,otra puede ser mi perro tiene mucho cabello y esta gordito,que la pelota es gris y tiene brillo,el cabello es verde como el pasto,son dientes muy blancos,muy cariñosa y muy tierna,que siempre esta sonriendo,que quedo pasada,que va a haber días mejores,que es una estrella de vidrio,porque estas son muy comunes en navidad,que utilizan vestidos de tela,porque en unos locales venden vestidos de tela,que son unos zapatos normales pero tienen miel,porque no es posible usar zapatos de miel,que es como una estatua de piedra,porque estas se encuentran en los museos,que la persona no siente nada,porque el alma no puede ser de hierro,que es como si te cobijara,porque una banqueta no te puede cobijar,que la silla avanza,porque la silla no puede moverse por si sola,que los atletas corren mucho,porque los atletas tienen que correr,que todavía tienes tiempo para hacer cosas,que puede hacer lo que tiene pendiente porque le sobra tiempo
399,no porque es una frase que no existe y ademas es la frase pelota que canta no existe,que su hermanito grita demasiado,su mascota,su amigo es bueno,es cabello que es como un zacate,son dientes que brillan como perlas,su hermana es dulce con ella,son sonrisas que congelan,la noche ya paso ahora sigue el día,que pasan mejores cosas,son estrellas que brillan toda la noche,si porque se escucha lindo y ademas se puede utilizar en muchas cosas,son vestidos hechos de tela,no porque tiene varios intereses por la ropa no se puede ocupar en frases,son zapatos que se le cayeron miel,no porque tiene varias cosas que no tiene una frase,es una piedra que se puede hacer estatua,si porque se ocupa esa frase,son personas que ponen su vida por el hierro,si porque es una persona que ama el hierro,son banquetas donde caminan las personas,no porque la banqueta se llena de nieve,las sillas son donde la gente se sienta,si porque son las sillas que llegan a la mesa,las personas que corren en lugares,si porque son personas que corren,que todos lo que quieres lo puedes alcanzar,si porque el tiempo alcanza
400,no porque las pelotas no cantan,mi hermanito es muy griton,esta muy bonita mi pelota,la pelota es muy amarilla como el sol,es muy grueso,son muy bonitos y brillantes,querida,muy blanca,el pasado,que va a ir mejor el día,estrellas brillantes,porque se pueden romper o caer,son suaves,si porque hay suaves,amarillos los zapatos,si porque están brillantes,escultura madura,si porque hay maduras,alma fuerte,si porque es muy fuerte,banquete caliente,no porque te calienta,la silla fue comprada,si porque puedes comprarla,atletas corren mucho,si corren como un rayo,el tiempo sobra,si el tiempo sobra
401,no porque las pelotas no cantan,que grita mucho,una pelota llena de pelos porque la llenaron de pelos,pelota hermosa,es un cabello muy maltratado,muy brillantes,es bonita y buena,sonrisa fuerte,hubo muchas cosas,va a haber mas oportunidades y cosas mejores,que son estrellas de vidrio,no porque no hay estrellas de cristal,que están hechas de tela,si porque por la tela esta elaborada por es vestimos,que los zapatos son de miel,no porque no hay zapatos de miel,que esta hecha de piedra,si es posible porque las esculturas por lo normal están hechas de piedra,alma dura,no porque no hay alma de hierro,banqueta que te cobija,no porque la banqueta no te abriga,que llego de algún lado,no porque las sillas no camina,corren la carrera,si porque corren hacia la meta,que el tiempo hasta sobra,si porque si haces tus labores rápido el tiempo hasta te sobra
